price,flooring,water_availability_hours,available_units,towers,locality_rank,locality_rating,locality_review_count,environment_rating,commuting_rating,places_of_interest_rating,rera_id,electricity_availability_hours,construction,ownership,authority_approval,bed,bath,parking,area,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,project_age_months,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,overlooking,bath_bed_ratio,bed_area_ratio,bed_bath_ratio,bed_balcony_ratio,project_density,compactness_ratio,floor_ratio,remaining_floors,area_per_bedroom,area_per_bathroom,area_per_balcony,area_per_parking,balcony_to_bed_ratio,parking_to_bed_ratio,lift_to_total_floor_ratio,distance_to_center_km,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_within_2km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,assigned_amenities_score,amenities_count
₹1.80 cr,vitrified,24.0,1512.0,10.0,14.0,3.9,44.0,3.9,4.0,3.7,,,under construction,,,2.0,2.0,1.0,635.0,,,4.0,,19.20777713,72.96747907,1.3006,69.0,raymond realty,tenx habitat raymond realty,unfurnished,thane,pokhran road,new property,under construction,,,organization,,1.0,0.0031496062992125984,1.0,,1162.54036598493,488.2361986775335,,,317.5,317.5,,635.0,,0.5,,1.259356278344754,1.8333333333333333,1.2,2,5.05,3.0,0,2.25,2.1,0,,,0,0,0,1.8333333333333333,3.0444444444444443,1.2,2.1,2,321.0,46
₹2.37 cr,"vitrified, wooden, ceramic tiles",24.0,810.0,6.0,11.0,4.1,574.0,4.0,4.2,4.2,p52000026796,no/rare powercut,under construction,,,3.0,3.0,1.0,1905.0,,,4.0,,19.08060457,73.07393855,17.0,76.0,paradise group,paradise sai world empire,unfurnished,navi mumbai,kharghar,new property,under construction,,,realestateagent,,1.0,0.0015748031496062992,1.0,,47.64705882352941,112.05882352941177,,,635.0,635.0,,1905.0,,0.3333333333333333,,7.756120529108451,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,0,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2,410.0,59
₹1.80 cr,,24.0,412.0,2.0,401.0,4.4,108.0,4.4,4.3,4.4,p51800020350,no/rare powercut,under construction,,,2.0,2.0,1.0,623.0,,,2.0,,19.24877774,72.86379288,1.0,50.0,n rose developers pvt. ltd.,northern hills,unfurnished,mumbai,dahisar east,new property,under construction,,,organization,,1.0,0.0032102728731942215,1.0,,412.0,623.0,,,311.5,311.5,,623.0,,0.5,,31.298556144743085,7.525,0.8,2,10.266666666666666,0.2,2,5.38,0.2,4,18.5,18.4,0,0,0,5.38,10.417916666666667,0.2,4.8999999999999995,8,84.0,13
₹1.64 cr,vitrified,24.0,339.0,1.0,118.0,3.8,35.0,3.6,3.7,4.1,p51800053527,no/rare powercut,under construction,,,2.0,2.0,,702.0,,23.0,,,19.13870425,72.85996367,1.0,13.0,avant group,avant heritage v,unfurnished,mumbai,jogeshwari east,new property,under construction,,,organization,,1.0,0.002849002849002849,1.0,,339.0,702.0,,,351.0,351.0,,,,,,19.27763396641402,,,0,,,0,,,0,,,0,0,0,,,,,0,119.0,18
₹1.26 cr,vitrified,24.0,174.0,1.0,376.0,3.5,20.0,3.3,3.8,3.5,p51800035010,no/rare powercut,under construction,,,1.0,2.0,1.0,608.0,,,3.0,,19.0553080482794,72.9228495020468,2.0,32.0,mj shah,centrionx,unfurnished,mumbai,govandi,new property,under construction,,,organization,,2.0,0.001644736842105263,0.5,,87.0,304.0,,,608.0,304.0,,608.0,,1.0,,15.08500328723071,2.06,1.2,3,1.2,1.2,1,3.85,2.3,0,,,0,0,0,1.2,2.3699999999999997,1.2,1.5666666666666664,4,72.0,10
₹1.23 cr,"vitrified, wooden, ceramic tiles",24.0,35.0,1.0,13.0,3.3,171.0,3.4,3.5,3.1,p52000021522,no/rare powercut,,,,2.0,2.0,,770.0,,10.0,3.0,,18.98125891,73.03124307,0.7413,27.0,progressive group,progressive prive,unfurnished,navi mumbai,ulwe,new property,ready to move,,,organization,,1.0,0.0025974025974025974,1.0,,47.214353163361665,1038.7157695939566,,,385.0,385.0,,,,,0.3,5.8735123281278785,5.35,3.3,0,4.4,4.4,0,7.366666666666667,4.4,0,11.200000000000001,4.8,0,0,0,4.4,7.0791666666666675,3.3,4.2250000000000005,0,63.0,9
₹100.0 lac,"mosaic, vitrified, wooden, marble",24.0,950.0,16.0,17.0,3.8,141.0,3.7,3.8,3.9,p52000029849,no/rare powercut,under construction,,,3.0,1.0,1.0,849.0,,,1.0,,19.00278852,73.13349188,9.0,27.0,vishesh group,balaji symphony,unfurnished,navi mumbai,panvel,new property,under construction,,,organization,,0.3333333333333333,0.0035335689045936395,3.0,,105.55555555555556,94.33333333333333,,,283.0,849.0,,849.0,,0.3333333333333333,,12.394822257085545,1.54,1.1,5,0.45,0.4,2,2.96,0.4,3,16.849999999999998,7.8,0,1,0,0.45,4.619999999999999,0.4,2.2,11,271.0,36
₹34.3 lac,vitrified,24.0,28.0,1.0,13.0,3.3,171.0,3.4,3.5,3.1,p52000050611,no/rare powercut,under construction,,,,,,270.0,,,1.0,,18.96296305674467,73.02426388522322,0.0862,21.0,aurus homes,la casa,unfurnished,navi mumbai,ulwe,new property,under construction,,,organization,,,,,,324.82598607888633,3132.2505800464037,,,,,,,,,,7.800645057777331,5.35,3.3,0,4.4,4.4,0,7.366666666666667,4.4,0,11.200000000000001,4.8,0,0,0,4.4,7.0791666666666675,3.3,4.2250000000000005,0,30.0,5
₹1.04 cr,vitrified,24.0,107.0,1.0,126.0,4.1,381.0,4.1,4.1,4.2,p51800012150,no/rare powercut,under construction,,,1.0,2.0,,370.0,,13.0,2.0,,19.10880306,72.85552701,,87.0,gagangiri construction,aerovista,unfurnished,mumbai,andheri east,new property,under construction,,,organization,,2.0,0.002702702702702703,0.5,,,,,,370.0,185.0,,,,,0.15384615384615385,15.959426422330447,66.35,11.2,0,,,0,6.9399999999999995,1.9,1,3.7600000000000002,0.8,4,2,0,1.4333333333333333,19.620833333333334,0.7,3.65,7,134.0,19
₹1.15 cr,"vitrified, marble",24.0,1313.0,2.0,,3.8,13.0,3.8,3.8,3.7,p51700033430,no/rare powercut,under construction,,,2.0,2.0,,578.0,,40.0,,,19.27923118,72.88752793,2.0,24.0,jp infra realty pvt ltd,the palace tower,unfurnished,thane,vinay nagar,new property,under construction,,,organization,,1.0,0.0034602076124567475,1.0,,656.5,289.0,,,289.0,289.0,,,,,,35.129826823496984,1.475,0.5,3,3.55,2.5,0,3.9,3.9,0,7.18,1.3,1,0,0,1.475,4.02625,0.5,2.0500000000000003,4,140.0,19
₹1.47 cr,vitrified,24.0,118.0,1.0,135.0,4.0,111.0,4.0,4.1,4.0,p51800052127,no/rare powercut,under construction,,,2.0,3.0,,607.0,,16.0,3.0,,19.07907,72.907976,0.2298,16.0,aakruti enterprises,om priyadarshani,unfurnished,mumbai,ghatkopar east,new property,under construction,,,organization,,1.5,0.0032948929159802307,0.6666666666666666,,513.4899912967797,2641.427328111401,,,303.5,202.33333333333334,,,,,0.1875,15.769841133126222,3.88,0.6,3,3.35,0.8,1,0.4666666666666666,0.2,3,7.925,3.1,0,2,0,0.4666666666666666,3.2343333333333333,0.2,1.04,9,129.0,19
₹1.16 cr,vitrified,24.0,300.0,3.0,11.0,4.1,574.0,4.0,4.2,4.2,p52000022975,no/rare powercut,under construction,,,2.0,2.0,,680.0,,47.0,4.0,,19.08256911,73.08055798,2.2239,19.0,adhiraj constructions,adhiraj capital city tower meraki,unfurnished,navi mumbai,kharghar,new property,under construction,,,organization,,1.0,0.0029411764705882353,1.0,,134.89815189531905,305.7691442960565,,,340.0,340.0,,,,,0.0851063829787234,8.419574196104538,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,0,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2,57.0,9
₹33.0 lac,,24.0,307.0,2.0,524.0,3.8,33.0,3.9,3.8,3.8,p99000054750,no/rare powercut,under construction,,,1.0,2.0,,362.0,,19.0,2.0,,19.42876348,72.80897426,1.0,9.0,abhinav realtors,av pride,unfurnished,palghar,nala sopara west,new property,under construction,,,organization,,2.0,0.0027624309392265192,0.5,,307.0,362.0,,,362.0,181.0,,,,,0.10526315789473684,30.07315936796331,,,0,5.3,5.3,0,3.5500000000000003,2.7,0,31.833333333333332,25.8,0,0,1,0.8,9.016666666666666,0.8,7.639999999999999,1,248.0,34
₹1.39 cr,,24.0,168.0,1.0,232.0,4.0,139.0,3.9,4.0,4.0,p51800050555,no/rare powercut,under construction,,,2.0,2.0,,623.0,,20.0,2.0,,19.15608564,72.94130268,0.9998,10.0,ashapura realtors,samarth aura,semi-furnished,mumbai,bhandup west,new property,under construction,,,organization,,1.0,0.0032102728731942215,1.0,,168.03360672134426,623.124624924985,,,311.5,311.5,,,,,0.1,24.709956269359143,5.1000000000000005,0.4,1,6.0,1.7,1,4.4,0.9,1,8.15,6.0,0,1,0,0.7,4.87,0.4,1.94,4,71.0,10
₹61.2 lac,vitrified,24.0,109.0,1.0,43.0,3.7,62.0,4.0,3.6,3.6,p52000052699,no/rare powercut,under construction,,,3.0,3.0,,840.0,,,2.0,,19.08563233,73.11055595,2.1503,15.0,s m hitech developers,sm jewel,unfurnished,navi mumbai,taloja,new property,under construction,,,realestateagent,,1.0,0.0035714285714285713,1.0,,50.690601311444915,390.6431660698507,,,280.0,280.0,,,,,,11.172800480893386,3.9,2.8,0,3.0599999999999996,1.2,1,7.959999999999999,6.6,0,12.65,12.4,0,0,0,3.0599999999999996,6.8925,1.2,5.75,1,235.0,34
