id,nearest_mcp,amenities_mcp,features_mcp
cardid69429251,"anmol vidya mandir, little flower high school, vasant vihar high school, thane railway station, upcoming kasarvadavali metro station, amrapali shopping center, shiv shilpa shopping centre, emerald plaza, kadamba 4vasant vihar, ","club house, cafeteria/food court, bar/lounge, jogging and strolling track, outdoor tennis courts, barbeque pit, power back up, swimming pool, lift, security, park, reserved parking, service/goods lift, visitor parking, maintenance staff, bank & atm, banquet hall, gymnasium, indoor games room, aerobics room, laundry service, piped gas, rain water harvesting, water storage, indoor squash & badminton courts, arts & craft studio, multipurpose courts, meditation area, fingerprint access, premium branded fittings, waste disposal, conference room, mini cinema theatre, health club with steam / jaccuzi, located in the heart of city, large clubhouse, 3 tier security system, large open space, grand entrance lobby, multipurpose hall, solar energy, kids play area, library, badminton court, event space & amphitheatre, fire fighting equipment","well-lit lobby and passage, vaastu compliant entrance, cp saitaryware jaquar/ hindware/ vitra or equivalent, common flooring: branded vitrified tiles, toilet & balcony flooring : branded anti-skid vitrified tiles, hardware : godrej / dormal / hafele or equivalent, innovatively planned boutique residences, stylish homes with a timeless appeal, nearing possession of  homes, breath-taking views of city & the urban infrastructure, breath-taking views of manicured & landscaped courtyard, landscape tower and club amenities, community services, conveniently located in the heart of thane, development, . of clubhouse amenities, proposed cadbury metro station -, viviana mall -, singhania cbse board school  -, korum mall -, sai baba temple -, jupiter hospital -, upvan lake, thane station, garden facing, road facing apartments and hill view facing, ten x vista offers a mix of stunning views and valuable amenities that contribute to a comfortable and active lifestyle the retail spaces are a highlight for business owners due to their modern design and prime location about the size of the apartments and the upkeep of common areas"
cardid69427147,"institute for technology & management, national institute of fashion technology (nift), convent of jesus & mary high school & junior college, dav international school, the gokhale education society, pethpada metro station, raghunath metro station, sector 14, nearest- kharghar railway station, shilp chowk, little world mall, zudio, inox glomax mall kharghar, little world mall, seawoods grand central mall, reliance corporate park, cidco park sector 20, international infotech park, millennium business park","club house, cafeteria/food court, bar/lounge, jogging and strolling track, outdoor tennis courts, barbeque pit, power back up, swimming pool, lift, security, park, reserved parking, service/goods lift, visitor parking, maintenance staff, bank & atm, banquet hall, gymnasium, indoor games room, aerobics room, laundry service, piped gas, rain water harvesting, water storage, indoor squash & badminton courts, arts & craft studio, multipurpose courts, meditation area, waste disposal, conference room, 3 tier security system, large open space, grand entrance lobby, multipurpose hall, event space & amphitheatre, fire fighting equipment, coffee lounge & restaurants, cycling & jogging track, private terrace/garden, dance studio, intercom facility, guest accommodation, kids club, concierge services, dth television facility, flower gardens, library and business centre, recreational pool, rentable community space, retail boulevard (retail shops), ro water system, air conditioned, canopy walk, vaastu compliant, internet/wi-fi connectivity, activity deck4, outdoor tennis courts, early learning centre, kids play pool with water slides","spread across  with  of landscaped podium garden, and 3 flat configurations to choose from, convenient connectivity through road, rail, and air, prominent schools, hospitals, shopping centres, restaurants, and relaxation centres in the vicinity, comprehensive amenities for security, sports, relaxation, meditation, and comfort, elegant lifestyle at reasonable pricing, offering royalty with themed township, inspired by the lifestyles of six famous kings and queens., espana kids park draws inspiration from the iconic gaudi architecture and the majestic spanish empire, gateway design inspired by the grandeur of the french kingdom's era, the clubhouse is a tribute to the grandeur of the greek kingdom, signature spa experience inspired by ancient egyptian spa, sai world empire is a grand and luxurious residential project with a host of amenities that cater to all age groups and interests the complex is admired for its spacious living spaces and the royal ambiance it offers about the management and completion of the project that residents hope will be addressed soon"
cardid71764335,"somiaya vidyavihar, universal high school, ryan international school, lexicon global school dahisar east, various stations on the chembur-sant gadge maharaj monorail network, dahisar check naka, dahisar check naka, thakur mall, thakur mall, thakur mall, orchid ozone mall, star bazaar, godrej one, godrej and boyce industry estate","jogging and strolling track, barbeque pit, lift, security, reserved parking, visitor parking, indoor games room, multipurpose courts, multipurpose hall, kids play area, internet/wi-fi connectivity, cycling track, sand pit","entrance lift lobby and staircases:, granite / vitrified tile flooring, inside the apartment:, double charged vitrified tile flooring with the option to upgrade*, double charged vitrified tile flooring with an option to upgrade*, vitrified tile flooring, provision for a modular kitchen, provision for a water heater and water purifier, black granite platform with stainless steel sink, height wall tiles above the cooking granite platform., designer tiles flooring, cp fittings - jaquar / cera or equivalent, sanitary ware - porcelain fixtures of jaquar/ american standard or equivalent, hot and cold wall mixer, single wall mounted ewc, wash basin (without pedestal), one tap., provision for geyser and exhaust fan, anti-skid vitrified tile flooring, provision for washing machine and dishwasher, anti-skid rustic finish tiles of superior quality., entrance door / main door:, ghana teak wood frame with solid flush shutter with teak wood veneer, internal & other doors:, sal wood / hardwood frame with 30mm door shutters with enamel paint., balcony: powder coated aluminium sliding doors with plain glass., french doors:  upvc sliding doors of superior quality., 6 passenger lifts with a 13-person capacity - johnson / kone or equivalent, concealed conduit with copper wiring, modular switches - roma or equivalent, provision for ac points in living and master bedroom., interior walls & ceilings: acrylic emulsion paint with roller finish, exterior walls: cement-based paint-snowcem/surfacoat, kitchen / utility: washable emulsion paint, toilet walls and ceiling:  anti-fungal paint, soaring . into the skies and 66- storey high, an architectural splendour offering spacious residences, sky and podium amenities., malls thakur mall-, carnival cinemas weh -, metro mall -, inox thakur village, pvr -, growel 101 mall-, hospital & diagnostic center pulse diagnostic centre-, pinnacle multi-speciality hospital -, lifecare diagnostics-, pragati multi-speciality hospital-, karuna hospital-, educational institutions universal high school-, jbcn international school-, rustomjee cambridge school-, singapore intl. school-, narayana e-techno school-, chatrabhuj narsee school-, thakur college-, connectivity s.v road-, w.e highway-, upcoming metro-, dahisar station east -, d mart link road -, sanjay gandhi national park-, northern hills in dahisar is a standout project offering a harmonious blend of luxury living with the convenience of modern amenities and easy access to transportation a sense of appreciation for the quality construction and environment some potential concerns about the clarity of possession timelines and inclusivity"
cardid71631505,,"power back up, swimming pool, lift, security, reserved parking, banquet hall, gymnasium, indoor games room, rain water harvesting, multipurpose hall, kids play area, fire fighting equipment, infinity swimming pool, cctv camera, barbeque space, cricket net practice, volleyball court, sewage treatment plant","automated car parking, jodi option available, amenities spread across 40, sq ft, uber premium club house of  area, jodi flats availaible, sample flat available, location advantages: majas depot -, jogeshwari metro station -, shyamnagar metro station -, jogeshwari railway station -, jogeshwari vikhroli link road -, western express highway -, international airport -, oberoi international school -, ismail yusuf college -, jes english school -, st. arnolds high school -, ryan international school -, hbt. trauma core hospital -, holy spirit hospital -, seven hills hospital -, hub mall -, infinity mall -, citi mall andheri (w) -, oberoi mall -"
cardid72558997,"garodia international centre for learning, somaiya vidyavihar, the gateway school of mumbai, tata institute of social sciences (tiss), rbk international academy, mankhurd railway station, r odeon mall, phoenix marketcity mall, r city mall, cubic mall, ","club house, swimming pool, banquet hall, gymnasium, indoor games room, aerobics room, piped gas, meditation area, kids play area, fire fighting equipment","wooden finish tiles., vitrified tiles., anti skid tiles., paint., premium quality paint., laminated flush doors., concealed copper wiring with branded modular switches., granite platform with dado tiles and stainless steel sink, full size sliding windows., premium quality cp and sanitary fittings., medical facilities pt m malaviya shatabdi hospital, chembur hospital project trust, apollo spectra hospital, arc hospital, zen multi-speciality hospital, school/colleges rbk international academy -, n. g. acharya & d. k. marathe college -, st. gregorios primary school -, st. anthony's girls high school -, our lady of perpetual succour high school -, near by, govandi railway station, chembur railway station, bkc, chembur monorail railway station, lokmanya tilak terminus, vashi, domestic & international airport, retail dmart, k star mall -, cubic mall -, r city -, phoenix marketcity -, club, bombay presidency golf club -, chembur gymkhana -, acres club -"
cardid71157137,"sree narayana guru international school, apeejay school nerul, dav nerul, dps nerul, bamandongri railway station, gavhan phata, kharkopar railway station, inorbit mall, seawoods grand central mall, reliance smart point, raheja arcade, reliance corporate park, balaji hospital","lift, security, gymnasium, multipurpose courts, grand entrance lobby, multipurpose hall, fire fighting equipment, cctv camera, high ceiling","ceiling height, vitrified flooring  tiles, high grade sanitary and electrical fittings, anodised aluminium windows, granite kitchen slab with ss sink, oc received, exclusive  apartments, elegant & designer entrance lobby with italian marble, location advantages: mumbai trans-harbour link -, waterway between navi mumbai & mumbai -, proposed metro station -, proposed navi mumbai airport -, amra marg -"
cardid71393503,"pillai college of engineering, kendriya vidyalaya ongc, st. joseph?s high school, dav public school, pillai s institute of management, panvel railway junction, shree saibaba mandir, nr.panvel railway station., mansarovar railway station, panvel railway station, big bazaar, acwe mall (best buy), orion mall, panvel, orion mall, hiranandani business park, navi mumbai special economic zone, prachin healthcare multi-speciality hospital","club house, cafeteria/food court, jogging and strolling track, power back up, swimming pool, security, park, reserved parking, visitor parking, gymnasium, indoor games room, rain water harvesting, water storage, multipurpose courts, meditation area, fingerprint access, premium branded fittings, waste disposal, health club with steam / jaccuzi, located in the heart of city, 3 tier security system, large open space, multipurpose hall, kids play area, badminton court, event space & amphitheatre, fire fighting equipment, private terrace/garden, intercom facility, vaastu compliant, infinity swimming pool, private pool, private jaccuzi, pool with temperature control, earth quake resistant, theme based architectures","high quality electrical fittings, high quality bath fittings, anti skid bath tiles, granite platform with ss sink in kitchen, anodised aluminium sliding windows, spacious homes, modular kitchen, air conditioned homes, panvel railway station & bus depot :, upcoming navi mumbai international airport , mumbai pune expressway & old highway, mumbai  goa highway   drive, schools, colleges, hospitals, malls, multiplexes  5- drive, upcoming virar  alibag corridor   drive, central park, golf course, iscon temple kharghar   drive"
cardid71830489,"rao iit academy, mulund college of commerce, akruti one world mall, sahakari bhandar, korum mall, r mall, metro mart nx, mindspace airoli, wellington business park 1, technopolis knowledge park, solitaire corporate park, rustomjee central park, sevenhills hospital, lt hospital, carewell nursing home","jogging and strolling track, lift, security, gymnasium, rain water harvesting, water storage, meditation area, premium branded fittings, waste disposal, located in the heart of city, 3 tier security system, grand entrance lobby, multipurpose hall, kids play area, fire fighting equipment, intercom facility, vaastu compliant, cctv camera, earth quake resistant","vitrified tiles in drawing/dining/bedrooms and kitchen., video door phone with inbuilt intercom facility at the apartment entrance, kitchen will be designed to suit semi modular kitchen panic button connected to security on the ground floor., copper wiring in concealed pvc conduits sufficient light and power points., electric point provision for a.c in living/dining & bedrooms, sweet water with  down from ground level., plots in the well planned urban estate with the provision of quality infrastructure and public utility services., most convenient location, affordable 1 and  with  amenities, homes with modular kitchen, magnificent apartments with all modern features required for a soulful living, the magnificent aerovista that is smartly located in andheri east, mumbai is a well-planned project., the property comprises of 107 units which are enclosed within a peaceful environment., from western express highway"
cardid71954433,"rassaz icse and international school, rbk school, gcc international school, nl dalmia high school, bhayandar railway station, mira road railway station, maxus mall, mira road midc, thakur mall dahisar, wadhwa techno park, mindspace malad, nirlon knowledge park","club house, outdoor tennis courts, swimming pool, lift, security, reserved parking, banquet hall, gymnasium, indoor games room, multipurpose courts, meditation area, mini cinema theatre, large open space, badminton court, ro water system, vaastu compliant, infinity swimming pool, cricket net practice, high ceiling","5-storey clubhouse, well connected to godbunder road and western express highway, lifestyle amenities, location advantages: direct connectivity: western express highway -, mira road station -, hotels and restaurants: sai palace hotel -, delhi darbar, bombay brittos & gcc hotel -, retail & entertainment: maxus mall -, d-mart-, rassaz mal -, thakur mall -, leading hospitals: wockhardt hospital, umrao hospital, seven eleven hospital, bhaktivedanta hospital, lifecare hospital samartha hospital - (all), top educational institute: podar international school, singapore international school, n.l dalmia institute of management and research, holy cross convent school, a.p international school, rbk school, st. xaviers high school, vedant international high school (all) -"
cardid71079531,"gs shetty international school, national education society (nes) campus, sinhal classes ghatkopar, radhasai tutorials & coaching classes, allen career institute, ghatkopar railway station, kanjurmarg railway station, plantinum mall, platinum mall, r odeon mall, godrej and boyce industrial estate, mindspace airoli, lodha ithink techno campus, der deutsche parkz, kamdar nursing home, parakh hospital","jogging and strolling track, lift, security, reserved parking, service/goods lift, visitor parking, gymnasium, piped gas, rain water harvesting, water storage, premium branded fittings, 3 tier security system, grand entrance lobby, kids play area, fire fighting equipment, cycling & jogging track, intercom facility, vaastu compliant, earth quake resistant","ample parking space, ground + rooftop amenities, vastu-compliant designed residential spaces, security system with intercom facilities, location advantages: ghatkopar - versova metro station -  walk in, next to dominic savio school, upcoming metro station, eastern express highway -  drive, sclr -  drive"
