id,AP_Pjt_URL,locality_URL,tech_spec,usp,overall,positive,needs_improvement,locality_avg_buy,locality_avg_rent
cardid69429251,https://www.magicbricks.com/tenx-habitat-raymond-realty-pokhran-road-thane-pdpid-4d4235313234353537,https://www.magicbricks.com/Pokhran-Road-in-Thane-Overview,Well-lit Lobby and passage | Vaastu compliant entrance | CP Saitaryware Jaquar/ Hindware/ Vitra or Equivalent | Common flooring: Branded vitrified tiles | Toilet & Balcony flooring : branded anti-skid vitrified tiles | Hardware : Godrej / Dormal / Hafele or Equivalent,Innovatively planned boutique residences | Stylish homes with a timeless appeal | Nearing possession of 2 bed homes | Breath-taking views of city & the urban infrastructure | Breath-taking views of manicured & landscaped courtyard | 50+ landscape tower and club amenities | Community services | Conveniently located in the heart of Thane | 14 Acre development | 25000 sq. Ft. Of clubhouse amenities | Proposed Cadbury Metro Station - 2 mins | Viviana Mall - 4 mins | Singhania CBSE board School  - 10 mins | Korum Mall - 5 mins | Sai baba Temple - 2 mins | Jupiter Hospital - 8 mins | Upvan Lake 10 mins | Thane Station 10 mins | Garden Facing | Road Facing Apartments and Hill View Facing,"Residents feel that ten x vista offers a mix of stunning views and valuable amenities that contribute to a comfortable and active lifestyle. The retail spaces are a highlight for business owners due to their modern design and prime location. However, there are some concerns about the size of the apartments and the upkeep of common areas. ","People Liked the breathtaking views from the apartments at Ten X Vista and the comprehensive amenities, including play courts and a clubhouse with various sports facilities.Many residents found the retail spaces to be exceptionally well-designed and strategically located, making them ideal for businesses looking to attract customers. ",,"Average property prices in the locality are between ? 13,400- ? 22,400 / sqft",Average rent in the locality is between ? 37- ? 60 / sqft
cardid69427147,https://www.magicbricks.com/paradise-sai-world-empire-kharghar-navi-mumbai-pdpid-4d4235303838373638,https://www.magicbricks.com/Kharghar-in-Navi-Mumbai-Overview,"Spread across 17 acres with 11 acres of landscaped podium garden | 6 towers and 3 flat configurations to choose from | Convenient connectivity through road, rail, and air | Prominent schools, hospitals, shopping centres, restaurants, and relaxation centres in the vicinity | Comprehensive amenities for security, sports, relaxation, meditation, and comfort | Elegant lifestyle at reasonable pricing","Spread across 17 acres with 11 acres of landscaped podium garden | 6 towers and 3 flat configurations to choose from | Convenient connectivity through road, rail, and air | Prominent schools, hospitals, shopping centres, restaurants, and relaxation centres in the vicinity | Comprehensive amenities for security, sports, relaxation, meditation, and comfort | Elegant lifestyle at reasonable pricing | Offering royalty with themed township, inspired by the lifestyles of six famous Kings and Queens. | Espana Kids park draws inspiration from the iconic Gaudi architecture and the majestic Spanish Empire | Gateway design inspired by the grandeur of the French Kingdom's era | The clubhouse is a tribute to the grandeur of the Greek Kingdom | Signature spa experience inspired by ancient Egyptian Spa","Residents feel that sai world empire is a grand and luxurious residential project with a host of amenities that cater to all age groups and interests. The complex is admired for its spacious living spaces and the royal ambiance it offers. However, there are some concerns about the management and completion of the project that residents hope will be addressed soon. ","People Liked the luxurious and scenic environment of Sai World Empire, highlighting the impressive architecture and the variety of amenities available, such as a football ground, swimming pool, and a clubhouse with lifestyle facilities.Many residents found the residential complex to be a grand and comfortable place to live, offering spacious rooms and a sense of royal living with towers named after historical figures. ","Roads are often congested, with poor conditions due to potholes. The local train station is distant, requiring a cab ride, and some residential areas are hard to access. Traffic jams and parking issues are common, along with frequent power outages and water shortages in summer. Footpaths are obstructed by vendors, complicating pedestrian movement. ","Average property prices in the locality are between ? 8,500- ? 13,800 / sqft",Average rent in the locality is between ? 25- ? 39 / sqft
cardid71764335,https://www.magicbricks.com/northern-hills-dahisar-east-mumbai-pdpid-4d4235323333333737,https://www.magicbricks.com/Dahisar-East-in-Mumbai-Overview,"Entrance lift lobby and staircases: | Granite / Vitrified tile flooring | Inside the apartment: | Double charged vitrified tile flooring with the option to upgrade* | Double charged Vitrified tile flooring with an option to upgrade* | Vitrified tile flooring, Provision for a modular kitchen, Provision for a water heater and water purifier | Black Granite Platform with stainless steel sink, 2ft height wall tiles above the cooking granite platform. | Designer tiles flooring, CP fittings - Jaquar / Cera or equivalent | Sanitary ware - porcelain fixtures of Jaquar/ American Standard or equivalent, Hot and cold wall mixer, | Single wall mounted EWC, wash basin (without pedestal), one tap. | Provision for geyser and Exhaust fan | Anti-skid Vitrified tile flooring, provision for washing machine and dishwasher | Anti-skid Rustic finish tiles of superior quality. | Entrance Door / Main Door: | Ghana Teak wood frame with solid flush shutter with Teak wood veneer | Internal & Other Doors: | Sal wood / Hardwood frame with 30mm door shutters with enamel paint. | Balcony: Powder coated aluminium sliding doors with plain glass. | French doors:  UPVC Sliding doors of superior quality. | 6 passenger lifts with a 13-person capacity - Johnson / Kone or equivalent | Concealed conduit with copper wiring | Modular switches - Roma or equivalent | Provision for AC points in living and Master bedroom. | Interior Walls & Ceilings: Acrylic emulsion paint with roller finish | Exterior Walls: Cement-based paint-Snowcem/Surfacoat | Kitchen / Utility: Washable emulsion paint | Toilet Walls and Ceiling:  Anti-fungal paint",Soaring 733 ft. into the skies and 66- Storey high | An architectural splendour offering spacious residences | Sky and Podium amenities. | MALLS Thakur Mall-2.2 km | Carnival Cinemas WEH - 4.9 km | Metro Mall - 5.2 km | Inox Thakur Village | PVR - 5.3 km | Growel 101 Mall-6.7 km | Hospital & Diagnostic Center Pulse Diagnostic Centre-20m | Pinnacle Multi-speciality Hospital - 20 m | Lifecare Diagnostics-2 km | Pragati Multi-speciality Hospital-2.4 km | Karuna Hospital-2.5 km | Educational Institutions Universal High School-1.5km | JBCN International School-2.4km | Rustomjee Cambridge School-2.9km | Singapore Intl. School-4.2km | Narayana E-Techno School-4.5km | Chatrabhuj narsee School-5.8km | Thakur College-6.3km | Connectivity S.V Road-130m | W.E Highway-210m | Upcoming Metro-350m | Dahisar Station East - 450m | D Mart Link road - 1.9Km | Sanjay Gandhi National park-2.4km,"Residents feel that northern hills in dahisar is a standout project, offering a harmonious blend of luxury living with the convenience of modern amenities and easy access to transportation. While there is a sense of appreciation for the quality construction and environment, some potential buyers experienced concerns about the clarity of possession timelines and inclusivity. ","Many residents found the design and attention to detail in Northern Hills, Dahisar, to be exceptional, praising the project for its luxury and comfort.People Liked the project's lush surroundings and thoughtful amenities, along with its excellent connectivity, being just a short walk from the metro and railway station. ","Heavy traffic results in long commute times and frequent jams, while narrow streets complicate parking. Noise pollution from closed roads and nearby pubs is an issue. Limited green spaces hinder outdoor activities, and the high cost of living is exacerbated by a lack of amenities like gyms and community halls. Healthcare access is poor, and cleanliness efforts are insufficient. ","Average property prices in the locality are between ? 13,100- ? 20,800 / sqft",Average rent in the locality is between ? 36- ? 56 / sqft
cardid71631505,https://www.magicbricks.com/avant-heritage-v-jogeshwari-east-mumbai-pdpid-4d4235343139323731,https://www.magicbricks.com/Jogeshwari-East-in-Mumbai-Overview,,"Automated car parking | Jodi Option Available | 50+ amenities spread across 40,000+ Sq ft | Uber premium club house of 12,000SQ FT AREA | Jodi Flats Availaible | Sample Flat Available | Location Advantages: Majas Depot - 600 m | Jogeshwari Metro Station - 500 m | Shyamnagar Metro Station - 250 m | Jogeshwari Railway Station - 1.2 Km | Jogeshwari Vikhroli Link Road - 200 m | Western Express Highway - 650 m | International Airport - 7 Km | Oberoi international School - 1km | Ismail Yusuf College - 1.8 km | JES English School - 2.3 Km | St. Arnolds High School - 2.9 Km | Ryan international School - 4.6 Km | HBT. Trauma Core Hospital - 750m | Holy Spirit Hospital - 2.6km | Seven Hills Hospital - 5.6Km | Hub Mall - 2.3km | Infinity Mall -3.6 Km | Citi Mall Andheri (w) - 4.6 Km | Oberoi Mall - 4.7 Km",,,,"Average property prices in the locality are between ? 14,000- ? 22,300 / sqft",Average rent in the locality is between ? 53- ? 83 / sqft
cardid72558997,https://www.magicbricks.com/centrionx-govandi-mumbai-pdpid-4d4235343230353233,https://www.magicbricks.com/Govandi-in-Mumbai-Overview,Wooden finish tiles. | Vitrified tiles. | Vitrified tiles. | Vitrified tiles. | Vitrified tiles. | Anti skid tiles. | Paint. | Premium quality paint. | Laminated flush doors. | Concealed copper wiring with branded modular switches. | Granite platform with dado tiles and stainless steel sink | Full size sliding windows. | Premium quality CP and sanitary fittings.,Medical Facilities Pt. M M Malaviya Shatabdi Hospital 4 Mins | Chembur Hospital Project Trust   6 Mins | Apollo Spectra Hospital 7 Mins | ARC Hospital   8 Mins | Zen Multi-Speciality Hospital   8 Mins | School/Colleges RBK International Academy - 1 Min | N. G. Acharya & D. K. Marathe College - 5 Mins | St. Gregorios Primary School - 6 Mins | St. Anthony's Girls High School - 8 Mins | Our Lady Of Perpetual Succour High School - 9 Mins | Near By | Govandi Railway Station 3 Mins | Chembur Railway Station 7 Mins | BKC   9 Mins | Chembur Monorail Railway Station   10 Mins | Lokmanya Tilak Terminus   15 Mins | Vashi   15 Mins | Domestic & International Airport   32 Mins | Retail DMart 4 Mins | K Star Mall - 7 Mins | Cubic Mall - 8 Mins | R City - 16 Mins | Phoenix Marketcity -18 Mins | Club | Bombay Presidency Golf Club - 7 Mins | Chembur Gymkhana - 8 Mins | Acres Club - 12 Mins,,,,"Average property prices in the locality are between ? 17,500- ? 28,400 / sqft",Average rent in the locality is between ? 61- ? 90 / sqft
cardid71157137,https://www.magicbricks.com/progressive-prive-ulwe-navi-mumbai-pdpid-4d4235333230353235,https://www.magicbricks.com/Ulwe-in-Navi-Mumbai-Overview,10 ft ceiling height | Vitrified flooring 3 x 3 tiles | High grade sanitary and electrical fittings | Anodised aluminium windows | Granite kitchen slab with SS Sink,OC Received | Exclusive 2 BHK Apartments | Elegant & Designer Entrance lobby with Italian marble | Location Advantages: Mumbai Trans-harbour link - 2 km | Waterway between Navi Mumbai & Mumbai - 0.9 km | Proposed Metro Station - 1 km | Proposed Navi Mumbai Airport - 3 km | Amra Marg - 1.5 km,,,,"Average property prices in the locality are between ? 6,800- ? 11,300 / sqft",Average rent in the locality is between ? 18- ? 30 / sqft
cardid71393503,https://www.magicbricks.com/balaji-symphony-panvel-navi-mumbai-pdpid-4d4235303239303035,https://www.magicbricks.com/Panvel-in-Navi-Mumbai-Overview,High quality electrical fittings | High quality bath fittings | Anti Skid bath tiles | Granite platform with SS Sink in Kitchen | Anodised aluminium sliding windows,"Spacious Homes | Modular Kitchen | Air Conditioned Homes | Panvel Railway Station & Bus Depot : 7 Kms | Upcoming Navi Mumbai International Airport – 10 Kms | Mumbai Pune Expressway & Old Highway | Mumbai – Goa Highway – 10 Mins Drive | Schools, Colleges, Hospitals, Malls, Multiplexes – 5-7 Mins Drive | Upcoming Virar – Alibag Corridor – 5 Mins Drive | Central Park, Golf Course, ISCON Temple Kharghar – 20 Mins Drive",,,,"Average property prices in the locality are between ? 5,000- ? 8,500 / sqft",Average rent in the locality is between ? 17- ? 28 / sqft
cardid71830489,https://www.magicbricks.com/aerovista-andheri-east-mumbai-pdpid-4d4235343138313831,https://www.magicbricks.com/Andheri-East-in-Mumbai-Overview,Vitrified tiles in drawing/dining/bedrooms and kitchen. | Video Door Phone with inbuilt Intercom facility at the apartment entrance | Kitchen will be designed to suit semi modular kitchen Panic button connected to security on the ground floor. | Copper wiring in concealed PVC conduits Sufficient light and power points. | Electric point provision for A.C in living/dining & bedrooms | Sweet Water with 100 Feet down from Ground Level. | Plots in the well planned urban estate with the provision of quality infrastructure and public utility services.,"Most Convenient Location | Affordable 1 and 2 BHK With 20+ Amenities | Homes with Modular Kitchen | Magnificent Apartments with all modern features required for a soulful living | The magnificent Aerovista that is smartly located in Andheri East, Mumbai is a well-planned project. | The property comprises of 107 units which are enclosed within a peaceful environment. | 5 mins from Western Express Highway",,,,"Average property prices in the locality are between ? 17,100- ? 28,000 / sqft",Average rent in the locality is between ? 57- ? 91 / sqft
cardid71954433,https://www.magicbricks.com/the-palace-tower-vinay-nagar-mumbai-pdpid-4d4235333236313437,https://www.magicbricks.com/Vinay-Nagar-in-Mumbai-Overview,,"5-storey clubhouse | Well connected to Godbunder Road and Western Express Highway | 50+ Lifestyle Amenities | Location Advantages: Direct Connectivity: Western Express highway - 5kms | Mira road station - 15kms | Hotels and Restaurants: Sai palace hotel - 10kms | Delhi Darbar, Bombay brittos & GCC hotel - 10kms | Retail & Entertainment: Maxus Mall - 20 kms | D-mart- 15kms | Rassaz mal - 10kms | Thakur mall - 10kms | Leading Hospitals: Wockhardt hospital, Umrao Hospital, Seven eleven Hospital, Bhaktivedanta Hospital, Lifecare Hospital Samartha Hospital - (all) 15 kms | Top Educational Institute: Podar International school, Singapore international school, N.L Dalmia Institute of management and research, Holy cross convent school, A.P international school, RBK school, St. Xaviers high school, Vedant International high school (all) - 10kms",,,,"Average property prices in the locality are between ? 8,500- ? 12,100 / sqft",Average rent in the locality is between ? 27- ? 40 / sqft
cardid71079531,https://www.magicbricks.com/om-priyadarshani-ghatkopar-east-mumbai-pdpid-4d4235343138373631,https://www.magicbricks.com/Ghatkopar-East-in-Mumbai-Overview,,Ample parking space | Ground + rooftop amenities | Vastu-compliant designed residential spaces | Security system with intercom facilities | Location Advantages: Ghatkopar - Versova Metro Station - 5mins walk in | Next to Dominic Savio School | Upcoming metro station | Eastern Express Highway - 3 km Drive | SCLR - 7 mins Drive,,,,"Average property prices in the locality are between ? 18,300- ? 28,500 / sqft",Average rent in the locality is between ? 52- ? 91 / sqft
